视频地址,弹幕地址,弹幕时间,弹幕内容
https://www.bilibili.com/video/BV17770,http://comment.bilibili.com/418074411.xml,2021-10-28 13:11,芜湖
https://www.bilibili.com/video/BV17770,http://comment.bilibili.com/418074411.xml,2021-10-28 12:48,好家伙，这是代表能抢到票了吗
https://www.bilibili.com/video/BV17770,http://comment.bilibili.com/418074411.xml,2021-10-28 12:26,不挣外汇了，内卷了！！！
https://www.bilibili.com/video/BV17770,http://comment.bilibili.com/418074411.xml,2021-10-28 11:10,隔壁日本，好好看看，你们举办的那是啥破环境，下水道式奥运会
https://www.bilibili.com/video/BV17770,http://comment.bilibili.com/418074411.xml,2021-10-28 11:48,顺便，这现场就让我们中国人独享吧！前无古人，后无来者
https://www.bilibili.com/video/BV17770,http://comment.bilibili.com/418074411.xml,2021-10-27 23:34,中国牛不牛，现在我们国家安全得很，远动员们只要安心比赛就行
https://www.bilibili.com/video/BV17770,http://comment.bilibili.com/418074411.xml,2021-10-27 21:25,考虑的真的很周到
https://www.bilibili.com/video/BV17770,http://comment.bilibili.com/418074411.xml,2021-10-27 13:32,好耶
https://www.bilibili.com/video/BV17770,http://comment.bilibili.com/418074411.xml,2021-10-27 13:24,好！
https://www.bilibili.com/video/BV17770,http://comment.bilibili.com/418074411.xml,2021-10-27 12:45,既见未来为何不拜
https://www.bilibili.com/video/BV17770,http://comment.bilibili.com/418074411.xml,2021-10-27 06:35,提前来的话得隔离两星期观察，没事的
https://www.bilibili.com/video/BV17770,http://comment.bilibili.com/418074411.xml,2021-10-27 01:56,冬奥的票国内国民就能买空根本不需要卖给老外
https://www.bilibili.com/video/BV17770,http://comment.bilibili.com/418074411.xml,2021-10-26 19:57,听完这个，瞬间真的真的太骄傲了
https://www.bilibili.com/video/BV17770,http://comment.bilibili.com/418074411.xml,2021-10-26 19:27,这才是大国的样子啊
https://www.bilibili.com/video/BV17770,http://comment.bilibili.com/418074411.xml,2021-10-26 16:50, 好耶
https://www.bilibili.com/video/BV17770,http://comment.bilibili.com/418074411.xml,2021-10-26 07:56,好耶
https://www.bilibili.com/video/BV17770,http://comment.bilibili.com/418074411.xml,2021-10-26 07:05,冬奥会观赏性更高
https://www.bilibili.com/video/BV17770,http://comment.bilibili.com/418074411.xml,2021-10-25 21:07,好耶
https://www.bilibili.com/video/BV17770,http://comment.bilibili.com/418074411.xml,2021-10-25 19:05,好耶
https://www.bilibili.com/video/BV17770,http://comment.bilibili.com/418074411.xml,2021-10-25 17:21,好
https://www.bilibili.com/video/BV17770,http://comment.bilibili.com/418074411.xml,2021-10-25 15:48,诶，你气不气，怪你不投胎中国呢，略略略
https://www.bilibili.com/video/BV17770,http://comment.bilibili.com/418074411.xml,2021-10-25 14:51,好耶
https://www.bilibili.com/video/BV17770,http://comment.bilibili.com/418074411.xml,2021-10-24 21:33,帅
https://www.bilibili.com/video/BV17770,http://comment.bilibili.com/418074411.xml,2021-10-24 10:12,我们有15亿人呢不需要这些老外来
https://www.bilibili.com/video/BV17770,http://comment.bilibili.com/418074411.xml,2021-10-24 06:01,境内老外如果帮境外老外买票咋办呢？
https://www.bilibili.com/video/BV17770,http://comment.bilibili.com/418074411.xml,2021-10-24 00:41,国内市场足够消化
https://www.bilibili.com/video/BV17770,http://comment.bilibili.com/418074411.xml,2021-10-24 00:23,植物大战僵尸，哈哈
https://www.bilibili.com/video/BV17770,http://comment.bilibili.com/418074411.xml,2021-10-23 15:05,挺好
https://www.bilibili.com/video/BV17770,http://comment.bilibili.com/418074411.xml,2021-10-23 15:01,还省钱了
https://www.bilibili.com/video/BV17770,http://comment.bilibili.com/418074411.xml,2021-10-23 11:15,2333
https://www.bilibili.com/video/BV17770,http://comment.bilibili.com/418074411.xml,2021-10-23 11:33,好耶
https://www.bilibili.com/video/BV17770,http://comment.bilibili.com/418074411.xml,2021-10-22 20:33,好耶！
https://www.bilibili.com/video/BV17770,http://comment.bilibili.com/418074411.xml,2021-10-22 17:57,冰冰
https://www.bilibili.com/video/BV17770,http://comment.bilibili.com/418074411.xml,2021-10-22 16:01,好耶！！！
https://www.bilibili.com/video/BV17770,http://comment.bilibili.com/418074411.xml,2021-10-22 16:41,哎就是不差人
https://www.bilibili.com/video/BV17770,http://comment.bilibili.com/418074411.xml,2021-10-22 14:00,主场优势，没人欺负
https://www.bilibili.com/video/BV17770,http://comment.bilibili.com/418074411.xml,2021-10-22 00:24,好耶
https://www.bilibili.com/video/BV17770,http://comment.bilibili.com/418074411.xml,2021-10-21 21:40,好耶！
https://www.bilibili.com/video/BV17770,http://comment.bilibili.com/418074411.xml,2021-10-21 21:04,好耶！
https://www.bilibili.com/video/BV17770,http://comment.bilibili.com/418074411.xml,2021-10-21 20:44,牛
https://www.bilibili.com/video/BV17770,http://comment.bilibili.com/418074411.xml,2021-10-21 12:06,干得漂亮
https://www.bilibili.com/video/BV17770,http://comment.bilibili.com/418074411.xml,2021-10-20 14:47,很靠谱
https://www.bilibili.com/video/BV17770,http://comment.bilibili.com/418074411.xml,2021-10-20 12:36,内部抢票开始
https://www.bilibili.com/video/BV17770,http://comment.bilibili.com/418074411.xml,2021-10-20 11:12,新年啊
https://www.bilibili.com/video/BV17770,http://comment.bilibili.com/418074411.xml,2021-10-19 16:23,好耶！！
https://www.bilibili.com/video/BV17770,http://comment.bilibili.com/418074411.xml,2021-10-19 15:36,好耶
https://www.bilibili.com/video/BV17770,http://comment.bilibili.com/418074411.xml,2021-10-19 15:42,哈哈哈哈
https://www.bilibili.com/video/BV17770,http://comment.bilibili.com/418074411.xml,2021-10-19 12:15,提前来也没问题。主要打完疫苗和核酸过关。有绿码
https://www.bilibili.com/video/BV17770,http://comment.bilibili.com/418074411.xml,2021-10-19 10:16,太强了，牛哇牛哇
